"State","Year","Race","Births","Female.Population"
"Massachusetts",2006,"White","3658",191941
"Michigan",2003,"American Indian or Alaska Native","115",3588
"Michigan",2003,"Asian or Pacific Islander","150",8406
"Michigan",2003,"Black or African American","4036",59645
"Michigan",2003,"White","8099",285724
"Michigan",2004,"American Indian or Alaska Native","108",3684
"Michigan",2004,"Asian or Pacific Islander","119",8556
"Michigan",2004,"Black or African American","4212",61629
"Michigan",2004,"White","8015",286887
"Michigan",2005,"American Indian or Alaska Native","102",3723
"Michigan",2005,"Asian or Pacific Islander","127",8710
"Michigan",2005,"Black or African American","4193",65524
"Michigan",2005,"White","7587",288626
"Michigan",2006,"American Indian or Alaska Native","93",3779
"Michigan",2006,"Asian or Pacific Islander","139",8983
"Michigan",2006,"Black or African American","4596",69171
"Michigan",2006,"White","7664",288807
"Minnesota",2003,"American Indian or Alaska Native","336",3485
"Minnesota",2003,"Asian or Pacific Islander","408",9270
"Minnesota",2003,"Black or African American","734",10410
"Minnesota",2003,"White","3481",163464
"Minnesota",2004,"American Indian or Alaska Native","348",3579
"Minnesota",2004,"Asian or Pacific Islander","460",9549
"Minnesota",2004,"Black or African American","891",11077
"Minnesota",2004,"White","3287",162944
"Minnesota",2005,"American Indian or Alaska Native","356",3675
"Minnesota",2005,"Asian or Pacific Islander","424",9797
"Minnesota",2005,"Black or African American","858",11807
"Minnesota",2005,"White","3200",161865
"Minnesota",2006,"American Indian or Alaska Native","357",3763
"Minnesota",2006,"Asian or Pacific Islander","474",9814
"Minnesota",2006,"Black or African American","949",12599
"Minnesota",2006,"White","3368",160401
"Mississippi",2003,"American Indian or Alaska Native","62",668
"Mississippi",2003,"Asian or Pacific Islander","Suppressed",927
"Mississippi",2003,"Black or African American","3944",49000
"Mississippi",2003,"White","2765",57734
"Mississippi",2004,"American Indian or Alaska Native","70",701
"Mississippi",2004,"Asian or Pacific Islander","17",905
"Mississippi",2004,"Black or African American","3803",49363
"Mississippi",2004,"White","2830",57907
"Mississippi",2005,"American Indian or Alaska Native","58",729
"Mississippi",2005,"Asian or Pacific Islander","14",952
"Mississippi",2005,"Black or African American","3851",50087
"Mississippi",2005,"White","2672",58154
"Mississippi",2006,"American Indian or Alaska Native","65",758
"Mississippi",2006,"Asian or Pacific Islander","14",960
"Mississippi",2006,"Black or African American","4451",50739
"Mississippi",2006,"White","3047",57656
"Missouri",2003,"American Indian or Alaska Native","59",1408
"Missouri",2003,"Asian or Pacific Islander","70",3051
"Missouri",2003,"Black or African American","2254",29602
"Missouri",2003,"White","6407",168605
"Missouri",2004,"American Indian or Alaska Native","63",1449
"Missouri",2004,"Asian or Pacific Islander","62",3098
"Missouri",2004,"Black or African American","2304",30415
"Missouri",2004,"White","6469",169302
"Missouri",2005,"American Indian or Alaska Native","58",1462
"Missouri",2005,"Asian or Pacific Islander","53",3268
"Missouri",2005,"Black or African American","2189",31710
"Missouri",2005,"White","6417",170094
"Missouri",2006,"American Indian or Alaska Native","67",1480
"Missouri",2006,"Asian or Pacific Islander","58",3438
"Missouri",2006,"Black or African American","2504",32902
"Missouri",2006,"White","6661",170633
"Montana",2003,"American Indian or Alaska Native","328",3311
"Montana",2003,"Asian or Pacific Islander","Suppressed",356
"Montana",2003,"Black or African American","Suppressed",224
"Montana",2003,"White","869",30752
"Montana",2004,"American Indian or Alaska Native","364",3311
"Montana",2004,"Asian or Pacific Islander","Suppressed",374
"Montana",2004,"Black or African American","Suppressed",235
"Montana",2004,"White","849",30464
"Montana",2005,"American Indian or Alaska Native","357",3357
"Montana",2005,"Asian or Pacific Islander","Suppressed",380
"Montana",2005,"Black or African American","Suppressed",229
"Montana",2005,"White","830",30372
"Montana",2006,"American Indian or Alaska Native","358",3375
"Montana",2006,"Asian or Pacific Islander","Suppressed",372
"Montana",2006,"Black or African American","10",271
"Montana",2006,"White","920",30140
"Nebraska",2003,"American Indian or Alaska Native","120",974
"Nebraska",2003,"Asian or Pacific Islander","23",1159
"Nebraska",2003,"Black or African American","305",3660
"Nebraska",2003,"White","1881",60192
"Nebraska",2004,"American Indian or Alaska Native","117",1036
"Nebraska",2004,"Asian or Pacific Islander","28",1151
"Nebraska",2004,"Black or African American","319",3730
"Nebraska",2004,"White","1825",59151
"Nebraska",2005,"American Indian or Alaska Native","102",1072
"Nebraska",2005,"Asian or Pacific Islander","42",1140
"Nebraska",2005,"Black or African American","321",3819
"Nebraska",2005,"White","1713",58883
"Nebraska",2006,"American Indian or Alaska Native","116",1118
"Nebraska",2006,"Asian or Pacific Islander","28",1212
"Nebraska",2006,"Black or African American","347",3871
"Nebraska",2006,"White","1653",58277
"Nevada",2003,"American Indian or Alaska Native","91",1584
"Nevada",2003,"Asian or Pacific Islander","152",4443
"Nevada",2003,"Black or African American","505",6780
"Nevada",2003,"White","3042",55023
"Nevada",2004,"American Indian or Alaska Native","70",1677
"Nevada",2004,"Asian or Pacific Islander","161",4918
"Nevada",2004,"Black or African American","474",7437
"Nevada",2004,"White","3157",57649
"Nevada",2005,"American Indian or Alaska Native","81",1692
"Nevada",2005,"Asian or Pacific Islander","149",5473
"Nevada",2005,"Black or African American","559",8184
"Nevada",2005,"White","3190",60652
"Nevada",2006,"American Indian or Alaska Native","108",1858
"Nevada",2006,"Asian or Pacific Islander","154",6036
"Nevada",2006,"Black or African American","614",9106
"Nevada",2006,"White","3479",63340
"New Hampshire",2003,"American Indian or Alaska Native","Suppressed",185
"New Hampshire",2003,"Asian or Pacific Islander","Suppressed",834
"New Hampshire",2003,"Black or African American","17",579
"New Hampshire",2003,"White","806",44250
"New Hampshire",2004,"American Indian or Alaska Native","Suppressed",191
"New Hampshire",2004,"Asian or Pacific Islander","Suppressed",851
"New Hampshire",2004,"Black or African American","28",637
"New Hampshire",2004,"White","815",45086
"New Hampshire",2005,"American Indian or Alaska Native","Suppressed",213
"New Hampshire",2005,"Asian or Pacific Islander","10",839
"New Hampshire",2005,"Black or African American","19",652
"New Hampshire",2005,"White","821",45641
"New Hampshire",2006,"American Indian or Alaska Native","Suppressed",190
"New Hampshire",2006,"Asian or Pacific Islander","10",895
"New Hampshire",2006,"Black or African American","13",723
"New Hampshire",2006,"White","850",45908
"New Jersey",2003,"American Indian or Alaska Native","25",1438
"New Jersey",2003,"Asian or Pacific Islander","93",17857
"New Jersey",2003,"Black or African American","2687",50390
"New Jersey",2003,"White","4427",200266
"New Jersey",2004,"American Indian or Alaska Native","17",1578
"New Jersey",2004,"Asian or Pacific Islander","93",18444
"New Jersey",2004,"Black or African American","2589",52138
"New Jersey",2004,"White","4322",204392
"New Jersey",2005,"American Indian or Alaska Native","20",1699
"New Jersey",2005,"Asian or Pacific Islander","78",19196
"New Jersey",2005,"Black or African American","2687",54254
"New Jersey",2005,"White","4180",208594
"New Jersey",2006,"American Indian or Alaska Native","20",1848
"New Jersey",2006,"Asian or Pacific Islander","75",19904
"New Jersey",2006,"Black or African American","2862",55703
"New Jersey",2006,"White","4304",211231
"New Mexico",2003,"American Indian or Alaska Native","635",9894
"New Mexico",2003,"Asian or Pacific Islander","17",1032
"New Mexico",2003,"Black or African American","95",1939
"New Mexico",2003,"White","3851",59168
"New Mexico",2004,"American Indian or Alaska Native","636",10272
"New Mexico",2004,"Asian or Pacific Islander","16",1074
"New Mexico",2004,"Black or African American","70",1972
"New Mexico",2004,"White","3741",59292
"New Mexico",2005,"American Indian or Alaska Native","617",10464
"New Mexico",2005,"Asian or Pacific Islander","17",1063
"New Mexico",2005,"Black or African American","90",2095
"New Mexico",2005,"White","3835",59473
"New Mexico",2006,"American Indian or Alaska Native","677",10689
"New Mexico",2006,"Asian or Pacific Islander","28",1076
"New Mexico",2006,"Black or African American","107",2200
"New Mexico",2006,"White","3877",59800
"New York",2003,"American Indian or Alaska Native","83",6365
"New York",2003,"Asian or Pacific Islander","328",41137
"New York",2003,"Black or African American","5765",140238
"New York",2003,"White","11684",456938
"New York",2004,"American Indian or Alaska Native","102",6784
"New York",2004,"Asian or Pacific Islander","356",42207
"New York",2004,"Black or African American","5792",142930
"New York",2004,"White","11073",462094
"New York",2005,"American Indian or Alaska Native","99",7302
"New York",2005,"Asian or Pacific Islander","304",43978
"New York",2005,"Black or African American","6342",146576
"New York",2005,"White","10584",467170
"New York",2006,"American Indian or Alaska Native","104",7734
"New York",2006,"Asian or Pacific Islander","292",45393
"New York",2006,"Black or African American","6475",149219
"New York",2006,"White","10791",469504
"North Carolina",2003,"American Indian or Alaska Native","293",4867
"North Carolina",2003,"Asian or Pacific Islander","155",5786
"North Carolina",2003,"Black or African American","4909",77877
"North Carolina",2003,"White","8076",190579
"North Carolina",2004,"American Indian or Alaska Native","290",5131
"North Carolina",2004,"Asian or Pacific Islander","165",5949
"North Carolina",2004,"Black or African American","4985",81289
"North Carolina",2004,"White","8412",194324
"North Carolina",2005,"American Indian or Alaska Native","333",5443
"North Carolina",2005,"Asian or Pacific Islander","159",6314
"North Carolina",2005,"Black or African American","5227",85103
"North Carolina",2005,"White","8469",199766
"North Carolina",2006,"American Indian or Alaska Native","350",5756
"North Carolina",2006,"Asian or Pacific Islander","150",6749
"North Carolina",2006,"Black or African American","5387",88079
"North Carolina",2006,"White","9070",204989
"North Dakota",2003,"American Indian or Alaska Native","176",1839
"North Dakota",2003,"Asian or Pacific Islander","Suppressed",196
"North Dakota",2003,"Black or African American","17",286
"North Dakota",2003,"White","440",23060
"North Dakota",2004,"American Indian or Alaska Native","213",1861
"North Dakota",2004,"Asian or Pacific Islander","Suppressed",211
"North Dakota",2004,"Black or African American","10",299
"North Dakota",2004,"White","407",22822
"North Dakota",2005,"American Indian or Alaska Native","196",1886
"North Dakota",2005,"Asian or Pacific Islander","Suppressed",234
"North Dakota",2005,"Black or African American","Suppressed",315
"North Dakota",2005,"White","459",22065
"North Dakota",2006,"American Indian or Alaska Native","209",1942
"North Dakota",2006,"Asian or Pacific Islander","Suppressed",249
"North Dakota",2006,"Black or African American","14",370
"North Dakota",2006,"White","414",21654
"Ohio",2003,"American Indian or Alaska Native","40",1476
"Ohio",2003,"Asian or Pacific Islander","73",5622
"Ohio",2003,"Black or African American","4496",57961
"Ohio",2003,"White","11174",332051
"Ohio",2004,"American Indian or Alaska Native","51",1507
"Ohio",2004,"Asian or Pacific Islander","81",5850
"Ohio",2004,"Black or African American","4677",59952
"Ohio",2004,"White","10726",333472
"Ohio",2005,"American Indian or Alaska Native","39",1529
"Ohio",2005,"Asian or Pacific Islander","104",5912
"Ohio",2005,"Black or African American","4744",62235
"Ohio",2005,"White","10838",334425
"Ohio",2006,"American Indian or Alaska Native","46",1591
"Ohio",2006,"Asian or Pacific Islander","73",6161
"Ohio",2006,"Black or African American","5066",64609
"Ohio",2006,"White","10926",335300
"Oklahoma",2003,"American Indian or Alaska Native","1079",16080
"Oklahoma",2003,"Asian or Pacific Islander","44",2295
"Oklahoma",2003,"Black or African American","945",12979
"Oklahoma",2003,"White","5016",95082
"Oklahoma",2004,"American Indian or Alaska Native","1034",16232
"Oklahoma",2004,"Asian or Pacific Islander","48",2317
"Oklahoma",2004,"Black or African American","904",13129
"Oklahoma",2004,"White","4977",94464
"Oklahoma",2005,"American Indian or Alaska Native","1091",16485
"Oklahoma",2005,"Asian or Pacific Islander","52",2392
"Oklahoma",2005,"Black or African American","934",13416
