Price,Carats,Color,Clarity,Depth,Table,Cut,TDdiff,TDratio,Test
1019,0.4,E,VS1,61.1,59,Very Good,-2.1,0.96563011,2
1019,0.32,D,VVS1,62.7,55,Very Good,-7.7,0.87719298,0
1019,0.32,D,VVS1,61.5,57,Excellent,-4.5,0.92682927,0
1019,0.37,D,VVS2,63,56,Excellent,-7,0.88888889,2
1036,0.33,E,VVS1,60.5,60,Excellent,-0.5,0.99173554,0
1036,0.33,E,VVS1,61.4,57,Ideal,-4.4,0.92833876,2
1037,0.37,E,VVS2,61,57,Very Good,-4,0.93442623,1
1037,0.37,E,VVS2,62.6,57,Very Good,-5.6,0.91054313,1
1037,0.43,D,VS2,61.4,56,Excellent,-5.4,0.91205212,0
1037,0.43,D,VS2,62.2,55,Excellent,-7.2,0.88424437,2
1037,0.43,D,VS2,61.9,55,Excellent,-6.9,0.88852989,1
1037,0.43,D,VS2,61.7,57,Excellent,-4.7,0.92382496,0
1037,0.43,D,VS2,61.7,58,Excellent,-3.7,0.94003241,0
1037,0.34,D,VVS1,62.2,56,Excellent,-6.2,0.90032154,0
1037,0.37,E,VVS1,62,57,Excellent,-5,0.91935484,2
1037,0.37,E,VVS1,61.8,57,Excellent,-4.8,0.9223301,0
1037,0.5,D,SI2,63.9,59,Good,-4.9,0.92331768,0
1037,0.33,F,VVS1,60.9,58,Excellent,-2.9,0.95238095,0
1037,0.57,J,VS2,62.1,60,Good,-2.1,0.96618357,0
1037,0.4,H,VVS1,61.7,57,Ideal,-4.7,0.92382496,2
1037,0.4,H,VVS1,61.1,60,Excellent,-1.1,0.98199673,1
1037,0.4,H,VVS1,59.9,58,Excellent,-1.9,0.96828047,1
1037,0.4,H,VVS1,62.1,56,Excellent,-6.1,0.90177134,0
1037,0.44,D,VS2,62.8,57,Excellent,-5.8,0.90764331,2
1037,0.31,E,VVS1,58.9,60,Excellent,1.1,1.01867572,0
1037,0.31,D,VVS1,62.2,58,Excellent,-4.2,0.93247588,0
1037,0.31,D,VVS1,60,59,Excellent,-1,0.98333333,0
1037,0.4,F,VS1,63.7,59,Very Good,-4.7,0.92621664,0
1037,0.4,F,VS1,63.2,61,Very Good,-2.2,0.96518987,0
1053,0.32,F,VVS1,61.8,55,Ideal,-6.8,0.88996764,0
1053,0.32,F,VVS1,60.8,60,Excellent,-0.8,0.98684211,2
1053,0.4,F,VVS2,64,58,Very Good,-6,0.90625,0
1053,0.48,G,VS2,63.7,57,Very Good,-6.7,0.89481947,0
1053,0.33,D,VVS2,61.1,58,Excellent,-3.1,0.9492635,1
1054,0.38,E,VS1,60.4,59,Excellent,-1.4,0.97682119,0
1054,0.32,E,IF,62.7,56,Excellent,-6.7,0.89314195,0
1054,0.31,G,IF,62.3,57,Excellent,-5.3,0.91492777,0
1054,0.53,F,SI2,62.4,59,Very Good,-3.4,0.94551282,1
1054,0.42,D,VS1,62.3,57,Excellent,-5.3,0.91492777,0
1054,0.42,D,VS1,62.6,58,Very Good,-4.6,0.92651757,0
1054,0.34,F,IF,62.6,56,Very Good,-6.6,0.89456869,0
1054,0.36,E,VVS1,62.9,56,Excellent,-6.9,0.89030207,0
1054,0.51,J,VS1,60.7,58,Very Good,-2.7,0.95551895,1
1054,0.34,E,VVS2,59.8,57,Excellent,-2.8,0.95317726,0
1054,0.33,D,VVS1,62.3,56,Very Good,-6.3,0.8988764,1
1055,0.33,E,VVS1,62.2,57,Excellent,-5.2,0.91639871,0
1055,0.4,E,VS1,62.8,59,Very Good,-3.8,0.93949045,0
1055,0.4,E,VS1,62.5,53,Very Good,-9.5,0.848,0
1055,0.4,E,VS1,60.3,61,Excellent,0.7,1.01160862,0
1055,0.41,E,VS1,60.8,62,Very Good,1.2,1.01973684,0
1055,0.41,E,VS1,60.8,59,Very Good,-1.8,0.97039474,0
1055,0.37,E,VS1,62,56,Excellent,-6,0.90322581,1
1055,0.4,I,IF,62.2,57,Very Good,-5.2,0.91639871,2
1055,0.37,D,VVS2,61,56,Excellent,-5,0.91803279,0
1076,0.38,E,VS1,60.2,58,Excellent,-2.2,0.96345515,0
1076,0.45,E,VS2,61.1,59,Excellent,-2.1,0.96563011,0
1076,0.5,E,SI2,61.7,58,Very Good,-3.7,0.94003241,0
1076,0.5,G,SI1,62.6,56,Excellent,-6.6,0.89456869,2
1076,0.5,G,SI1,61.5,60,Excellent,-1.5,0.97560976,1
1076,0.42,F,VS1,61.7,59,Very Good,-2.7,0.95623987,0
1076,0.42,F,VS1,62.1,59,Excellent,-3.1,0.95008052,0
1076,0.5,E,SI2,61,57,Excellent,-4,0.93442623,0
1076,0.5,G,SI1,60.7,60,Very Good,-0.7,0.98846787,0
1076,0.62,J,VS2,58.9,59,Good,0.1,1.00169779,2
1076,0.5,J,VS2,61.4,57,Excellent,-4.4,0.92833876,1
1076,0.39,E,VVS1,62.2,57,Excellent,-5.2,0.91639871,0
1076,0.39,E,VVS1,62.1,56,Excellent,-6.1,0.90177134,0
1077,0.37,H,VVS1,61.4,57,Ideal,-4.4,0.92833876,0
1077,0.37,D,VS1,61.7,58,Excellent,-3.7,0.94003241,0
1077,0.37,D,VS1,60.9,61,Excellent,0.1,1.00164204,0
1077,0.54,H,SI2,60.6,58,Very Good,-2.6,0.95709571,0
1077,0.46,D,VS2,63,57,Excellent,-6,0.9047619,0
1077,0.57,J,VS2,61.9,56,Very Good,-5.9,0.90468498,2
1077,0.36,G,VVS1,60.5,58,Excellent,-2.5,0.95867769,2
1078,0.38,E,VS1,61.5,56,Ideal,-5.5,0.91056911,2
1078,0.34,F,IF,62.9,56,Excellent,-6.9,0.89030207,0
1078,0.31,E,VVS1,61.9,56,Ideal,-5.9,0.90468498,1
1078,0.52,E,SI2,61.7,58,Excellent,-3.7,0.94003241,0
1078,0.5,I,VS2,59.4,59,Very Good,-0.4,0.99326599,0
1099,0.44,G,VVS2,61.6,59,Excellent,-2.6,0.95779221,0
1099,0.35,G,IF,61.6,57,Ideal,-4.6,0.92532468,1
1099,0.35,E,VVS2,59.4,60,Excellent,0.6,1.01010101,0
1099,0.55,G,SI1,63.1,57,Excellent,-6.1,0.90332805,0
1100,0.32,F,IF,60.9,57,Ideal,-3.9,0.93596059,0
1100,0.32,F,IF,61,58,Excellent,-3,0.95081967,0
1100,0.33,F,VVS1,61.8,56,Excellent,-5.8,0.90614887,2
1100,0.46,E,VS2,62.5,57,Good,-5.5,0.912,1
1100,0.42,F,VVS2,62,61,Very Good,-1,0.98387097,0
1100,0.44,F,VS2,61.6,60,Excellent,-1.6,0.97402597,0
1101,0.5,E,SI1,61.5,60,Good,-1.5,0.97560976,0
1101,0.4,F,VVS2,62.7,56,Excellent,-6.7,0.89314195,2
1101,0.39,G,IF,59.3,61,Excellent,1.7,1.02866779,0
1101,0.62,K,VS1,62.5,54,Excellent,-8.5,0.864,2
1101,0.3,E,IF,61.1,59,Very Good,-2.1,0.96563011,0
1102,0.43,F,VS1,62.8,57,Very Good,-5.8,0.90764331,2
1102,0.4,E,VS1,61.6,60,Excellent,-1.6,0.97402597,1
1102,0.4,E,VS1,62.4,56,Very Good,-6.4,0.8974359,2
1102,0.4,E,VS1,60.6,60,Excellent,-0.6,0.99009901,0
1102,0.64,J,SI1,62.1,56,Excellent,-6.1,0.90177134,0
1102,0.4,E,VS1,61.8,55,Excellent,-6.8,0.88996764,1
1102,0.4,E,VS1,62.2,57,Very Good,-5.2,0.91639871,2
1102,0.4,E,VS1,61.4,58,Excellent,-3.4,0.94462541,0
1102,0.4,E,VS1,61.3,59,Excellent,-2.3,0.96247961,0
1102,0.4,E,VS1,61.5,57,Excellent,-4.5,0.92682927,1
1129,0.57,F,SI2,62.1,59,Very Good,-3.1,0.95008052,0
1129,0.57,H,SI1,62.1,59,Excellent,-3.1,0.95008052,0
1129,0.57,H,SI1,62.6,58,Very Good,-4.6,0.92651757,1
1129,0.36,G,VVS1,60.1,57,Excellent,-3.1,0.9484193,2
1129,0.4,F,VS1,63.7,63,Good,-0.7,0.98901099,0
1129,0.34,F,IF,62.3,56,Excellent,-6.3,0.8988764,0
1129,0.54,H,SI1,61.7,59,Excellent,-2.7,0.95623987,0
1129,0.51,E,SI2,59.4,58,Very Good,-1.4,0.97643098,1
1129,0.45,F,VS1,62.6,57,Excellent,-5.6,0.91054313,0
1129,0.34,G,IF,58.8,59,Excellent,0.2,1.00340136,0
1129,0.34,F,VVS1,62.5,56,Excellent,-6.5,0.896,2
1130,0.4,G,VVS1,63.2,58,Very Good,-5.2,0.91772152,0
1130,0.4,F,VVS2,62.6,56,Excellent,-6.6,0.89456869,0
1130,0.41,E,VS1,62.4,57,Excellent,-5.4,0.91346154,0
1130,0.41,E,VS1,62.6,58,Excellent,-4.6,0.92651757,0
1130,0.41,E,VS1,62.3,57,Excellent,-5.3,0.91492777,0
1130,0.41,E,VS1,62.1,56,Excellent,-6.1,0.90177134,0
1130,0.41,E,VS1,61,56,Excellent,-5,0.91803279,0
1130,0.41,E,VS1,61.2,57,Excellent,-4.2,0.93137255,2
1130,0.41,E,VS1,61.9,55,Excellent,-6.9,0.88852989,0
1130,0.41,E,VS1,62.2,58,Very Good,-4.2,0.93247588,2
1130,0.41,E,VS1,62.8,56,Excellent,-6.8,0.89171975,0
1130,0.41,E,VVS2,61.9,59,Excellent,-2.9,0.95315024,0
1130,0.41,E,VS1,62.2,60,Excellent,-2.2,0.96463023,2
1130,0.41,E,VS1,61.2,60,Very Good,-1.2,0.98039216,0
1154,0.41,F,VVS1,61.2,58,Excellent,-3.2,0.94771242,2
1154,0.38,E,IF,62.2,57,Excellent,-5.2,0.91639871,1
1154,0.38,E,IF,61.3,58,Excellent,-3.3,0.94616639,0
1154,0.41,F,VVS1,62.7,55,Very Good,-7.7,0.87719298,0
1154,0.41,F,VVS1,61.3,59,Very Good,-2.3,0.96247961,1
1154,0.41,G,IF,63.9,57,Very Good,-6.9,0.89201878,2
1154,0.41,F,VVS1,60.6,58,Excellent,-2.6,0.95709571,0
1154,0.41,D,VVS2,59.9,57,Excellent,-2.9,0.95158598,0
1154,0.41,D,VVS2,63.1,55,Very Good,-8.1,0.87163233,0
1155,0.32,E,IF,59.7,59,Excellent,-0.7,0.98827471,0
1155,0.32,E,IF,61.4,57,Ideal,-4.4,0.92833876,1
1155,0.42,D,VS1,63,56,Very Good,-7,0.88888889,0
1155,0.54,G,SI1,59.4,60,Very Good,0.6,1.01010101,0
1155,0.54,G,VS2,59.5,65,Very Good,5.5,1.09243697,1
1155,0.61,J,VS2,61.1,58,Excellent,-3.1,0.9492635,2
1155,0.41,F,VS1,62,56,Excellent,-6,0.90322581,0
1156,0.5,E,SI2,59.7,59,Very Good,-0.7,0.98827471,0
1156,0.5,E,SI2,62.2,61,Very Good,-1.2,0.9807074,0
1156,0.5,E,SI2,62.8,60,Very Good,-2.8,0.95541401,0
1156,0.51,F,SI1,60.2,60,Excellent,-0.2,0.99667774,0
1156,0.35,G,IF,60.3,57,Ideal,-3.3,0.94527363,0
1156,0.45,I,VVS1,62.1,57,Excellent,-5.1,0.9178744,1
1156,0.4,E,VVS1,63.1,54,Very Good,-9.1,0.85578447,0
1156,0.4,E,VVS1,62.9,59,Very Good,-3.9,0.93799682,2
1156,0.4,E,VVS1,62.8,58,Very Good,-4.8,0.92356688,1
1171,0.4,D,VVS2,62.9,56,Very Good,-6.9,0.89030207,0
1171,0.3,D,IF,64.2,56,Very Good,-8.2,0.87227414,2
1171,0.3,D,IF,60.9,61,Very Good,0.1,1.00164204,0
1171,0.3,D,IF,61.7,58,Very Good,-3.7,0.94003241,0
1171,0.5,H,VS2,62.7,57,Excellent,-5.7,0.90909091,0
1172,0.51,E,SI1,63.6,58,Good,-5.6,0.91194969,0
1172,0.51,G,VS2,62.5,57,Very Good,-5.5,0.912,1
1172,0.51,E,SI1,63.2,60,Very Good,-3.2,0.94936709,1
1172,0.51,E,SI1,63.3,54,Very Good,-9.3,0.85308057,0
1172,0.51,G,VS2,63.3,56,Very Good,-7.3,0.88467615,0
1172,0.52,F,SI1,59.4,58,Very Good,-1.4,0.97643098,2
1172,0.45,G,VVS2,59.8,58,Excellent,-1.8,0.96989967,0
1172,0.52,H,SI1,62,57,Excellent,-5,0.91935484,0
1172,0.47,I,VVS1,61.7,58,Excellent,-3.7,0.94003241,0
1172,0.47,G,VS1,59.9,58,Very Good,-1.9,0.96828047,0
1173,0.4,F,VS1,60.5,58,Excellent,-2.5,0.95867769,0
1173,0.37,H,IF,62.4,57,Excellent,-5.4,0.91346154,0
1173,0.53,E,SI1,60.1,59,Very Good,-1.1,0.98169717,0
1173,0.33,E,IF,61.3,58,Excellent,-3.3,0.94616639,1
1173,0.51,H,SI1,61.6,56,Excellent,-5.6,0.90909091,0
1173,0.38,E,IF,59,59,Excellent,0,1,2
1174,0.47,G,VVS2,63,56,Very Good,-7,0.88888889,0
1174,0.35,G,IF,62.2,56,Excellent,-6.2,0.90032154,0
1174,0.35,G,IF,60,57,Excellent,-3,0.95,0
1174,0.44,E,VVS1,61.9,58,Very Good,-3.9,0.93699515,0
1193,0.31,D,IF,61.5,56,Ideal,-5.5,0.91056911,2
1193,0.6,J,VS1,64.2,56,Very Good,-8.2,0.87227414,0
1193,0.42,G,VVS1,62.5,55,Very Good,-7.5,0.88,0
1193,0.42,F,VVS2,61.5,57,Excellent,-4.5,0.92682927,2
1193,0.42,G,VVS1,62.7,60,Very Good,-2.7,0.9569378,0
1193,0.42,G,VVS1,60.9,57,Very Good,-3.9,0.93596059,1
1193,0.42,G,VVS1,60.4,59,Very Good,-1.4,0.97682119,0
1194,0.5,I,VS1,62.6,60,Very Good,-2.6,0.95846645,0
1194,0.53,F,VS2,58.1,60,Very Good,1.9,1.03270224,0
1194,0.5,E,SI1,60.9,54,Excellent,-6.9,0.88669951,1
1194,0.44,E,VVS2,61.3,57,Excellent,-4.3,0.92985318,2
1194,0.53,F,SI1,62.9,58,Very Good,-4.9,0.92209857,0
1194,0.5,G,VS2,62.8,58,Very Good,-4.8,0.92356688,2
1194,0.4,D,VS1,62.9,57,Very Good,-5.9,0.90620032,0
1194,0.43,E,VS1,61.4,58,Excellent,-3.4,0.94462541,0
1194,0.42,D,VS1,62.2,57,Excellent,-5.2,0.91639871,0
1194,0.52,E,SI1,60.2,58,Very Good,-2.2,0.96345515,2
1195,0.35,D,VVS1,60.8,59,Excellent,-1.8,0.97039474,2
1195,0.35,D,VVS1,61.9,59,Excellent,-2.9,0.95315024,1
1195,0.51,H,VS2,62.7,60,Very Good,-2.7,0.9569378,2
1195,0.51,H,VS2,62.2,58,Excellent,-4.2,0.93247588,1
1195,0.51,G,SI1,62.6,55,Excellent,-7.6,0.87859425,0
1195,0.51,D,SI2,61.7,57,Excellent,-4.7,0.92382496,2
1195,0.55,H,VS2,62.5,60,Very Good,-2.5,0.96,0
1195,0.41,E,VVS2,62.4,56,Excellent,-6.4,0.8974359,0
1215,0.33,E,IF,58.1,61,Very Good,2.9,1.04991394,0
1215,0.56,F,SI2,61.5,56,Excellent,-5.5,0.91056911,0
1215,0.6,F,SI2,62.5,58,Very Good,-4.5,0.928,0
1215,0.4,D,VVS2,63.5,57,Very Good,-6.5,0.8976378,0
1215,0.4,F,VVS1,63.2,58,Very Good,-5.2,0.91772152,0
1215,0.4,F,VVS1,62.8,58,Excellent,-4.8,0.92356688,0
1215,0.4,D,VVS2,60.5,59,Excellent,-1.5,0.97520661,0
1215,0.4,G,IF,61.9,56,Very Good,-5.9,0.90468498,0
1215,0.4,D,VVS2,61.1,57,Very Good,-4.1,0.93289689,2
1215,0.52,D,SI2,62.7,56,Very Good,-6.7,0.89314195,0
1215,0.4,F,VVS1,60.8,60,Very Good,-0.8,0.98684211,0
1215,0.4,F,VVS1,60.8,56,Ideal,-4.8,0.92105263,0
1215,0.4,F,VVS1,60.8,58,Excellent,-2.8,0.95394737,0
1215,0.4,F,VVS1,61.1,58,Excellent,-3.1,0.9492635,2
1215,0.4,F,VVS1,61.3,58,Excellent,-3.3,0.94616639,0
1215,0.65,J,VS2,62.5,58,Excellent,-4.5,0.928,0
1215,0.4,F,VVS1,63.1,56,Very Good,-7.1,0.88748019,2
1215,0.4,F,VVS1,63.9,57,Very Good,-6.9,0.89201878,1
1215,0.4,D,VVS2,61,59,Excellent,-2,0.96721311,0
1215,0.43,E,VS1,62.2,57,Excellent,-5.2,0.91639871,0
1216,0.44,D,VS1,62.2,59,Excellent,-3.2,0.94855305,2
1216,0.41,I,IF,60.1,57,Ideal,-3.1,0.9484193,0
1216,0.4,E,VS1,63.7,57,Very Good,-6.7,0.89481947,2
1216,0.4,G,VVS1,60.3,57,Excellent,-3.3,0.94527363,0
1216,0.4,G,VVS1,61.2,60,Excellent,-1.2,0.98039216,0
1237,0.42,F,VVS1,60.6,58,Excellent,-2.6,0.95709571,2
1237,0.38,F,VVS1,61.3,58,Excellent,-3.3,0.94616639,0
1237,0.62,J,VS1,63.1,60,Good,-3.1,0.95087163,0
1237,0.38,F,VVS1,60,57,Ideal,-3,0.95,1
1238,0.42,D,VS1,61.3,58,Excellent,-3.3,0.94616639,2
1238,0.54,E,SI2,62.1,56,Very Good,-6.1,0.90177134,0
1238,0.4,D,VVS2,60.4,59,Very Good,-1.4,0.97682119,1
1239,0.4,F,VVS1,59.7,60,Excellent,0.3,1.00502513,2
1239,0.4,F,VVS1,58.7,62,Excellent,3.3,1.05621806,0
1239,0.4,F,VVS1,59.9,61,Excellent,1.1,1.01836394,2
1239,0.47,D,VS1,62.4,56,Excellent,-6.4,0.8974359,1
1239,0.44,F,VVS1,62.9,55,Excellent,-7.9,0.87440382,0
1239,0.56,G,SI1,61.3,58,Very Good,-3.3,0.94616639,0
1239,0.4,E,VVS2,61.2,55,Ideal,-6.2,0.89869281,1
1239,0.61,F,SI1,63.8,60,Very Good,-3.8,0.94043887,1
1239,0.41,E,VVS2,59,57,Very Good,-2,0.96610169,0
1239,0.54,D,SI2,59.8,60,Excellent,0.2,1.00334448,0
1239,0.5,J,VVS1,63.1,58,Very Good,-5.1,0.91917591,2
1239,0.6,I,VS2,62,56,Excellent,-6,0.90322581,0
1240,0.57,E,SI2,63.5,60,Very Good,-3.5,0.94488189,1
1240,0.58,G,SI1,60.8,58,Excellent,-2.8,0.95394737,0
1240,0.49,F,VS1,61.1,55,Very Good,-6.1,0.90016367,0
1240,0.43,F,VVS1,60.8,58,Very Good,-2.8,0.95394737,2
1240,0.61,I,VS1,63.4,62,Good,-1.4,0.97791798,1
1240,0.5,D,SI1,63.1,60,Very Good,-3.1,0.95087163,0
1269,0.41,F,VVS1,59.3,61,Excellent,1.7,1.02866779,0
1269,0.4,E,VVS2,62.2,58,Excellent,-4.2,0.93247588,0
1270,0.45,G,VVS1,62.8,56,Excellent,-6.8,0.89171975,0
1270,0.45,F,VVS2,60.8,56,Excellent,-4.8,0.92105263,0
1270,0.45,G,VVS1,61.6,56,Ideal,-5.6,0.90909091,0
1270,0.45,F,VVS2,61.8,59,Excellent,-2.8,0.95469256,0
1270,0.33,D,IF,62.8,55,Very Good,-7.8,0.87579618,0
1270,0.38,E,VVS1,62.2,57,Excellent,-5.2,0.91639871,1
1270,0.38,E,VVS1,60.3,58,Excellent,-2.3,0.96185738,2
1270,0.37,E,VVS1,60.3,57,Ideal,-3.3,0.94527363,0
1270,0.46,F,VS1,59.9,59,Excellent,-0.9,0.98497496,1
1270,0.39,F,VVS1,61.3,57,Ideal,-4.3,0.92985318,1
1271,0.71,K,VS2,60.4,62,Very Good,1.6,1.02649007,0
1271,0.52,E,SI1,63.2,56,Very Good,-7.2,0.88607595,0
1271,0.58,E,SI1,62.9,57,Very Good,-5.9,0.90620032,1
1271,0.58,E,SI1,63.1,56,Very Good,-7.1,0.88748019,0
1272,0.53,E,SI1,60.6,58,Excellent,-2.6,0.95709571,1
1272,0.35,F,IF,61.7,58,Excellent,-3.7,0.94003241,0
1272,0.37,G,IF,62.3,57,Excellent,-5.3,0.91492777,1
1272,0.41,E,VVS1,61.1,56,Ideal,-5.1,0.91653028,2
1273,0.51,G,VS2,62.3,59,Very Good,-3.3,0.9470305,0
1273,0.51,G,VS2,61.5,60,Very Good,-1.5,0.97560976,0
1273,0.39,E,VVS1,59,60,Excellent,1,1.01694915,0
1273,0.47,F,VVS2,64.2,57,Very Good,-7.2,0.88785047,0
1273,0.56,F,SI1,61.4,62,Very Good,0.6,1.00977199,2
1302,0.51,H,VS1,61.7,60,Very Good,-1.7,0.97244733,1
1302,0.6,J,VS1,62,58,Excellent,-4,0.93548387,0
1303,0.72,K,VS2,63.3,56,Very Good,-7.3,0.88467615,0
1303,0.52,D,SI1,59.9,61,Very Good,1.1,1.01836394,2
1303,0.5,E,SI1,60.3,60,Very Good,-0.3,0.99502488,1
1303,0.41,F,IF,60.9,60,Excellent,-0.9,0.98522167,1
1303,0.5,E,SI1,62.4,57,Excellent,-5.4,0.91346154,0
1303,0.42,E,VVS1,62.1,56,Excellent,-6.1,0.90177134,1
1304,0.39,F,IF,61.8,56,Ideal,-5.8,0.90614887,1
1304,0.61,E,SI2,60.5,64,Good,3.5,1.05785124,0
1304,0.61,G,SI1,62.2,58,Excellent,-4.2,0.93247588,1
1304,0.58,D,SI1,59.9,61,Very Good,1.1,1.01836394,0
1304,0.43,G,IF,62.5,55,Excellent,-7.5,0.88,2
1304,0.43,F,VVS1,62.4,57,Very Good,-5.4,0.91346154,0
1304,0.43,F,VVS1,61.8,56,Excellent,-5.8,0.90614887,0
1304,0.43,F,VVS1,61.3,59,Excellent,-2.3,0.96247961,0
1304,0.5,H,VS2,62,60,Very Good,-2,0.96774194,0
1304,0.4,D,VVS1,63.3,57,Very Good,-6.3,0.90047393,0
1304,0.4,E,IF,60.5,59,Very Good,-1.5,0.97520661,0
1304,0.4,E,IF,59.6,61,Very Good,1.4,1.02348993,0
1304,0.4,D,VVS1,61.3,60,Very Good,-1.3,0.97879282,2
1304,0.4,D,VVS1,60.7,58,Excellent,-2.7,0.95551895,2
1304,0.4,D,VVS1,61,59,Excellent,-2,0.96721311,0
1304,0.4,D,VVS1,59.9,59,Excellent,-0.9,0.98497496,1
1305,0.5,D,SI1,60,61,Very Good,1,1.01666667,0
1334,0.4,E,VVS1,62.2,55,Excellent,-7.2,0.88424437,0
1334,0.4,E,VVS1,61.2,60,Excellent,-1.2,0.98039216,0
1334,0.4,E,VVS1,61.7,59,Excellent,-2.7,0.95623987,0
1334,0.5,H,VS1,62.5,55,Very Good,-7.5,0.88,0
1334,0.7,H,SI2,63.9,57,Very Good,-6.9,0.89201878,0
1334,0.47,F,VS1,61.5,57,Ideal,-4.5,0.92682927,1
1334,0.44,F,VVS1,61.6,57,Excellent,-4.6,0.92532468,1
1334,0.5,J,IF,58,60,Good,2,1.03448276,0
1335,0.39,E,IF,61.8,57,Ideal,-4.8,0.9223301,2
1335,0.49,E,VS2,61.5,58,Excellent,-3.5,0.94308943,0
1335,0.53,D,SI1,63,58,Very Good,-5,0.92063492,0
1335,0.6,J,VVS2,62.8,59,Very Good,-3.8,0.93949045,0
1335,0.6,I,VS2,61.8,59,Very Good,-2.8,0.95469256,0
1336,0.47,D,VS2,60.2,58,Excellent,-2.2,0.96345515,1
1336,0.54,E,SI1,62.5,54,Very Good,-8.5,0.864,0
1336,0.7,K,VS1,63,57,Very Good,-6,0.9047619,1
1336,0.54,E,SI1,61.5,60,Very Good,-1.5,0.97560976,1
1336,0.43,F,VVS1,61.7,57,Ideal,-4.7,0.92382496,0
1336,0.43,F,VVS1,59.3,60,Excellent,0.7,1.01180438,0
1336,0.71,J,VS2,62.7,56,Good,-6.7,0.89314195,0
1336,0.64,H,SI1,62.9,59,Good,-3.9,0.93799682,2
1336,0.56,G,SI1,62.1,58,Excellent,-4.1,0.93397746,2
1336,0.56,G,SI1,62,58,Excellent,-4,0.93548387,2
1336,0.56,G,SI1,60.9,58,Excellent,-2.9,0.95238095,0
1336,0.5,F,SI1,60.4,59,Excellent,-1.4,0.97682119,2
1366,0.5,I,VVS2,60.3,60,Excellent,-0.3,0.99502488,0
1367,0.6,H,VS2,60,58,Very Good,-2,0.96666667,2
1367,0.38,E,IF,61.9,57,Ideal,-4.9,0.92084006,2
1367,0.5,J,VVS1,59.8,61,Very Good,1.2,1.02006689,0
1367,0.41,E,VVS1,61.7,56,Ideal,-5.7,0.9076175,2
