upoz,day,v500,wind,hum,safb,inbh,dagg,inbt,vis
6,69,5510,5,50,45,5000,38,5,140
3,70,5530,5,61,47,5000,56,20,200
2,71,5620,9,61,43,5000,66,13,120
8,72,5690,0,60,49,613,-27,154,300
12,73,5760,4,31,56,334,-9,180,300
12,74,5740,3,66,53,567,13,166,150
16,75,5780,5,53,61,488,-20,183,2
9,76,5790,2,42,63,531,-15,217,50
24,77,5760,3,60,70,508,7,192,70
13,78,5700,4,82,57,1571,68,135,17
8,79,5680,4,57,35,721,28,130,140
10,80,5720,5,21,52,505,-49,196,140
8,81,5720,5,19,59,377,-27,229,300
9,82,5730,4,32,67,442,-9,243,200
10,83,5710,5,77,57,902,54,158,250
14,85,5720,4,71,42,1381,4,135,60
9,86,5710,3,19,55,5000,-16,100,100
11,87,5600,6,45,40,5000,38,83,150
7,88,5630,4,44,39,1302,40,115,150
9,89,5690,7,70,57,1292,-5,120,200
12,90,5730,6,45,58,5000,-14,115,100
12,91,5710,3,46,62,472,34,172,300
8,92,5610,6,50,51,1404,42,125,120
9,93,5680,5,69,61,944,35,132,100
5,94,5620,6,67,34,5000,75,18,200
4,95,5420,7,69,35,5000,41,-6,200
4,96,5540,5,54,35,5000,62,8,200
9,97,5590,6,51,48,5000,44,56,300
13,98,5690,6,63,59,2014,31,119,300
5,99,5550,21,63,41,5000,56,29,250
10,100,5620,7,57,58,5000,27,87,120
10,101,5630,6,61,51,524,57,126,140
7,102,5580,7,78,46,5000,55,36,200
5,103,5560,4,65,40,5000,59,18,140
4,104,5440,5,44,35,5000,24,3,80
7,105,5480,7,51,46,2490,29,86,300
3,106,5620,5,73,39,5000,107,-4,100
4,107,5450,11,35,32,5000,36,8,300
7,108,5660,6,35,47,5000,28,41,200
11,109,5680,6,61,50,1144,30,120,120
15,110,5760,4,50,65,547,1,194,100
22,111,5790,4,57,66,413,10,209,120
17,112,5720,5,68,69,610,46,176,60
7,113,5660,6,58,59,3638,81,107,120
10,114,5710,5,65,64,3848,45,138,100
19,115,5780,7,78,68,1479,40,200,100
18,116,5750,7,73,49,1108,55,186,27
12,117,5700,5,41,52,869,0,145,40
6,118,5620,9,47,56,5000,43,35,140
9,119,5650,6,46,55,5000,49,33,150
19,120,5730,5,61,66,1148,31,160,100
21,121,5810,4,55,74,856,4,241,100
29,122,5790,4,60,76,807,16,228,120
16,123,5740,8,78,70,2040,46,175,150
11,125,5690,4,71,67,314,60,150,120
2,127,5680,6,77,41,5000,75,49,120
12,128,5650,8,66,61,1410,20,129,140
16,129,5730,6,74,68,360,23,169,120
22,130,5730,3,78,69,1568,32,198,70
20,131,5760,7,78,74,1184,40,204,80
27,132,5830,6,75,74,898,24,230,70
33,133,5880,3,80,80,436,0,302,40
25,134,5890,6,88,84,774,6,300,20
31,135,5850,4,76,78,1181,50,266,17
18,136,5820,6,63,80,1991,47,209,40
24,138,5800,7,78,76,1597,56,200,50
16,139,5740,3,74,74,1184,52,208,70
12,140,5710,7,63,66,3005,58,151,80
9,141,5720,8,62,66,2880,53,141,120
16,143,5740,5,53,69,2125,64,150,100
8,145,5690,9,62,62,3720,74,105,120
9,146,5730,5,71,67,4337,66,152,200
29,147,5780,3,68,80,2053,31,227,120
20,148,5790,7,79,76,1958,70,214,40
5,149,5750,3,76,65,3644,86,152,70
5,150,5680,6,71,65,1368,75,147,100
11,151,5720,3,66,63,3539,73,120,120
12,152,5770,4,81,62,2785,49,174,100
19,153,5800,4,72,68,984,26,207,120
17,154,5780,8,92,68,1804,56,200,70
19,155,5740,6,71,69,3234,77,171,80
16,156,5730,6,64,66,3441,67,161,100
14,157,5760,6,68,70,1578,61,160,100
10,158,5770,7,59,70,1850,76,160,120
9,159,5690,8,67,64,2962,80,152,120
7,160,5650,6,66,61,2670,54,130,120
5,161,5610,3,61,52,5000,76,56,150
2,162,5570,9,81,48,5000,57,49,140
12,163,5690,5,63,59,5000,46,107,140
22,164,5760,3,58,67,987,28,177,140
17,165,5810,5,68,66,1148,43,194,140
26,166,5830,4,71,74,898,-24,255,60
27,167,5880,6,67,83,777,-1,281,30
14,168,5860,3,64,78,1279,75,220,17
11,169,5830,6,64,75,1046,69,204,80
23,170,5870,4,69,84,1167,50,235,60
26,171,5860,3,77,81,987,45,243,100
21,172,5800,3,61,79,1144,57,218,120
15,173,5800,4,69,79,977,60,215,150
20,174,5770,5,64,65,770,26,242,120
15,175,5860,4,33,81,629,-11,302,140
18,176,5870,7,38,84,337,-14,321,140
26,177,5870,4,54,83,590,26,295,120
19,178,5860,6,39,90,400,19,285,120
13,179,5880,5,43,90,580,9,307,80
30,180,5870,7,55,93,646,25,318,140
26,181,5860,4,77,88,826,41,291,140
15,182,5830,5,63,72,823,52,236,150
16,183,5820,5,65,72,2116,47,213,120
16,184,5820,8,64,70,2972,52,180,120
19,185,5860,6,68,78,2752,41,211,140
23,186,5870,3,76,87,1377,37,258,100
28,187,5890,6,71,91,1486,33,266,50
34,188,5900,6,86,87,990,22,295,40
33,189,5890,5,65,91,508,29,296,100
24,191,5910,4,73,88,1204,56,266,100
17,192,5900,5,69,83,2414,63,247,60
10,193,5860,3,64,78,2385,67,213,50
14,194,5830,3,63,79,2326,64,218,70
13,195,5850,9,72,77,3389,56,204,80
17,196,5830,6,82,81,2818,58,221,80
22,198,5810,8,69,76,2394,54,209,90
19,199,5830,4,74,78,2746,61,208,120
20,200,5830,5,69,75,2493,55,225,120
25,201,5840,7,72,82,1528,42,233,100
28,202,5870,6,73,84,111,40,256,60
29,203,5870,4,90,86,1899,45,247,40
23,205,5860,3,80,80,1289,32,240,40
26,206,5900,3,73,80,984,35,260,70
14,207,5890,4,71,84,836,28,275,80
13,208,5880,4,78,84,826,27,263,80
26,209,5890,6,80,81,1105,39,234,80
22,210,5870,8,74,85,1023,46,251,80
14,213,5820,6,63,73,2956,46,196,120
13,214,5780,6,57,72,2988,56,187,150
9,215,5770,3,55,68,4291,60,168,200
12,216,5790,4,65,65,3330,59,148,150
14,222,5840,7,65,79,1233,30,214,100
24,224,5910,5,72,81,1069,28,235,80
19,225,5890,5,79,80,984,57,230,70
16,226,5870,6,62,76,1653,71,204,60
7,227,5780,7,65,59,3930,68,151,150
2,228,5730,5,77,55,5000,73,109,200
4,229,5780,7,70,66,5000,45,107,200
6,230,5750,7,58,64,4212,46,138,200
12,231,5760,5,58,62,5000,52,99,250
9,232,5730,7,72,67,5000,31,141,300
15,233,5730,5,77,74,1545,43,187,70
17,234,5790,4,57,74,994,44,209,300
13,235,5750,3,67,70,1125,55,200,150
20,236,5880,3,73,77,636,16,233,300
22,237,5890,7,70,83,748,32,250,30
24,238,5880,4,73,81,692,44,254,100
26,239,5870,7,73,73,807,39,260,100
32,240,5900,6,71,87,869,19,261,17
33,241,5920,4,77,89,800,24,298,20
27,242,5930,3,68,92,393,6,332,4
38,243,5950,5,62,92,557,0,326,70
23,244,5950,8,61,93,620,27,298,30
19,245,5900,5,71,93,1404,33,293,70
19,246,5890,8,77,86,898,21,270,60
15,247,5860,7,71,76,377,-2,285,40
28,248,5840,5,67,81,528,17,260,50
10,249,5800,6,74,78,2818,26,226,70
14,250,5760,7,65,73,3247,10,196,140
26,251,5810,6,82,80,895,0,256,100
17,252,5850,4,67,81,721,0,268,120
3,255,5760,7,87,52,5000,39,110,150
14,256,5860,4,71,63,1965,13,161,50
29,257,5830,5,77,72,1853,10,216,70
18,258,5840,5,78,75,2342,7,219,40
3,259,5800,7,72,55,5000,56,109,70
9,261,5790,3,71,61,4028,35,128,140
19,262,5830,5,71,71,2716,26,176,140
8,263,5810,5,76,71,3671,31,188,100
23,265,5780,6,76,72,3795,31,194,70
13,266,5800,6,73,75,3120,35,194,40
7,268,5800,5,80,65,2667,17,175,100
3,269,5780,9,73,61,5000,39,115,120
5,270,5790,8,80,60,5000,36,94,120
11,271,5770,5,75,64,308,25,204,140
12,272,5750,4,68,61,2982,18,155,120
5,273,5640,5,93,63,5000,30,115,70
4,274,5640,7,57,62,5000,25,107,150
5,275,5650,3,70,59,5000,38,87,200
4,276,5710,6,65,56,5000,35,88,200
10,277,5760,6,66,59,3070,13,156,200
17,278,5840,4,73,72,830,0,223,70
26,279,5880,3,77,71,711,-9,242,40
30,280,5890,5,80,75,1049,-10,261,50
18,281,5890,4,73,71,511,-39,288,17
12,282,5890,5,19,71,5000,-40,198,80
7,283,5890,6,19,73,5000,-34,208,250
15,284,5850,3,73,78,377,-3,260,200
12,285,5830,5,76,73,862,27,231,2
7,286,5830,8,77,71,337,-17,273,20
28,287,5860,5,86,73,492,-2,279,7
22,288,5830,5,76,71,1394,13,239,30
18,289,5800,7,66,66,3146,27,178,50
14,290,5830,4,74,69,2234,11,193,70
24,291,5790,5,71,69,2109,21,209,17
10,292,5730,4,84,64,5000,23,125,80
14,293,5780,5,74,65,2270,-7,205,50
9,294,5740,7,48,54,2191,-13,204,60
12,295,5710,8,75,62,3448,12,148,60
7,296,5690,6,74,56,5000,13,94,80
7,297,5670,4,67,55,5000,11,97,50
6,298,5760,4,75,58,2719,25,138,50
13,299,5820,5,71,48,1899,21,167,40
5,300,5790,3,35,54,5000,-41,114,40
3,301,5760,5,23,57,5000,-21,105,300
7,302,5800,6,19,60,5000,-19,124,200
8,303,5810,7,59,61,2385,10,158,150
10,304,5750,4,60,63,1938,0,170,100
12,305,5840,0,38,65,590,-11,211,100
6,308,5920,3,22,71,328,-40,270,150
5,310,5860,7,19,70,5000,-29,165,300
20,312,5840,0,45,68,597,-22,231,30
14,314,5810,2,47,69,469,-4,221,50
16,315,5770,2,73,59,1541,18,173,20
5,316,5710,4,67,49,5000,24,55,200
3,317,5500,9,56,39,5000,15,54,120
5,318,5660,3,54,50,5000,27,70,300
1,319,5700,3,71,46,5000,54,60,200
5,320,5810,5,59,54,5000,-28,120,70
4,321,5860,0,25,60,5000,-38,175,140
11,322,5900,0,24,62,5000,-36,156,150
6,323,5850,5,41,65,2014,-20,211,200
8,324,5780,3,50,66,436,1,213,4
14,325,5790,0,76,66,830,3,189,40
18,326,5780,2,82,63,1112,-8,191,30
12,327,5770,2,81,62,1210,-17,199,30
9,328,5750,2,85,60,501,-22,216,2
7,329,5780,5,76,63,875,-15,205,0
14,330,5790,5,66,60,1601,7,167,30
4,331,5750,6,58,58,5000,59,55,60
3,332,5670,8,19,34,5000,-63,28,150
3,333,5760,0,19,36,5000,-52,50,100
3,334,5770,4,19,44,2280,-54,132,250
3,335,5810,2,19,53,2047,-43,175,150
3,336,5810,2,19,52,5000,-69,136,200
3,337,5870,3,19,53,3720,-50,163,200
3,338,5830,2,27,58,311,-24,211,200
6,339,5760,0,64,55,2536,28,136,80
6,340,5680,0,52,50,1154,-22,164,60
5,341,5780,4,19,48,2933,-40,155,300
3,342,5810,3,19,51,3064,-33,171,200
4,343,5760,0,32,62,826,-16,182,300
7,344,5680,0,58,40,5000,2,61,50
5,345,5750,0,26,44,111,-52,201,40
5,346,5790,5,19,49,5000,-48,126,70
4,347,5770,3,19,53,5000,-37,131,150
3,348,5750,0,19,53,5000,-26,106,150
2,349,5720,0,19,53,5000,-31,108,70
5,350,5760,3,19,55,948,-48,215,200
3,351,5780,0,19,51,5000,-50,105,120
4,352,5660,4,19,54,5000,-22,92,150
4,353,5610,2,58,48,3687,-10,83,150
6,354,5640,0,51,53,5000,0,68,60
6,355,5680,3,52,49,5000,-19,76,70
3,356,5650,5,19,48,5000,-28,74,150
4,357,5710,4,19,51,5000,-25,91,300
3,358,5680,4,57,47,508,-10,148,100
8,359,5630,4,50,50,2851,-5,100,70
2,362,5730,3,53,51,111,-14,225,200
3,363,5690,3,23,51,5000,-36,107,70
5,364,5650,3,61,50,3704,18,83,40
1,365,5550,4,85,39,5000,8,44,100
