ZIP,HospID,City,State,Beds,RBeds,Outpatients,Admin,Inpatient,Hip95,Knee95,SalesYr,Sales12,Teach,Trauma,Rehab,Hip96,Knee96,Femur96,logBeds,logOut,logRBeds,logAdmin,logInpat,logHip95,logKnee95,logSales,logSales12,logHip96,logKnee96,logFemur96
1970,182014, Salem, MA,375,0,131960,16407,11895,36,36,132,109,1,0,0,130,127,99,5.929589143,11.7902617,0,9.7055243,9.383957488,3.610917913,3.610917913,4.890349128,4.700480366,4.875197323,4.852030264,4.605170186
2072,64014, Stoughton, MA,236,0,23989,12004,7729,13,13,26,29,0,1,0,34,31,45,5.468060141,10.08539236,0,9.393078509,8.952864142,2.63905733,2.63905733,3.295836866,3.401197382,3.555348061,3.465735903,3.828641396
2114,43814, Boston, MA,284,227,0,3707,0,0,16,8,1,0,0,1,0,0,0,5.65248918,0,5.429345629,8.218247927,0,0,2.833213344,2.197224577,0.693147181,0,0,0
2114,43014, Boston, MA,1005,0,504125,34214,27830,0,2,504,271,1,1,0,519,289,303,6.913737351,13.13058152,0,10.44041942,10.23390579,0,1.098612289,6.224558429,5.605802066,6.253828812,5.669880923,5.717027701
2115,21514, Boston, MA,710,0,421456,37745,25796,0,0,461,458,1,1,0,437,372,169,6.56667243,12.95147303,0,10.53863479,10.15801349,0,0,6.135564891,6.12905021,6.08221891,5.92157842,5.135798437
2120,46014, Boston, MA,219,0,47036,7829,9163,6,18,663,463,1,0,0,618,410,51,5.393627546,10.75868981,0,8.965717789,9.123038044,1.945910149,2.944438979,6.498282149,6.139884552,6.428105273,6.018593214,3.951243719
2135,62014, Boston, MA,391,0,0,14594,8852,7,13,82,49,1,1,0,80,47,77,5.97126184,0,0,9.588434283,9.088511664,2.079441542,2.63905733,4.418840608,3.912023005,4.394449155,3.871201011,4.356708827
2138,78014, Cambridge, MA,290,0,72061,11767,7426,0,0,78,51,1,0,0,101,53,103,5.673323267,11.18528214,0,9.373139262,8.912877288,0,0,4.369447852,3.951243719,4.624972813,3.988984047,4.644390899
2154,209014, Waltham, MA,275,0,118791,8788,6473,1,15,51,30,1,0,0,52,32,68,5.620400866,11.68512934,0,9.081256219,8.775549434,0.693147181,2.772588722,3.951243719,3.433987204,3.970291914,3.496507561,4.234106505
2162,153014, Newton, MA,321,0,66061,17475,9375,0,0,104,93,1,1,0,102,60,109,5.774551546,11.09834897,0,9.76858379,9.145908512,0,0,4.65396035,4.543294782,4.634728988,4.110873864,4.700480366
2169,174014, Quincy, MA,293,0,0,9092,4460,2,3,61,42,0,1,0,75,31,127,5.683579767,0,0,9.115260166,8.403128235,1.098612289,1.386294361,4.127134385,3.761200116,4.33073334,3.465735903,4.852030264
2176,134014, Melrose, MA,243,0,44010,10662,8973,3,3,42,36,0,0,0,51,34,81,5.497168225,10.69219488,0,9.274535084,9.102086787,1.386294361,1.386294361,3.761200116,3.610917913,3.951243719,3.555348061,4.406719247
2184,59514, Braintree, MA,154,154,160456,2148,142,77,79,0,0,1,0,1,0,0,0,5.043425117,11.98578127,5.043425117,7.672757897,4.96284463,4.356708827,4.382026635,0,0,0,0,0
2190,190014, South Weymouth, MA,312,0,83609,16154,10041,93,99,105,66,0,1,0,100,70,137,5.746203191,11.33391841,0,9.689984878,9.214531577,4.543294782,4.605170186,4.663439094,4.204692619,4.615120517,4.262679877,4.927253685
2215,17014, Boston, MA,504,0,159632,29739,14337,31,34,181,67,1,1,0,197,81,171,6.224558429,11.98063271,0,10.30024822,9.570668634,3.465735903,3.555348061,5.204006687,4.219507705,5.288267031,4.406719247,5.147494477
2401,63114, Brockton, MA,275,0,37989,7920,5288,13,13,59,24,0,0,0,52,48,68,5.620400866,10.54507825,0,8.977272739,8.573384471,2.63905733,2.63905733,4.094344562,3.218875825,3.970291914,3.891820298,4.234106505
2402,63014, Brockton, MA,301,0,35297,11707,5798,37,37,56,47,1,0,0,59,64,73,5.710427017,10.47158158,0,9.368027648,8.665440768,3.63758616,3.63758616,4.043051268,3.871201011,4.094344562,4.17438727,4.304065093
2540,92314, Falmouth, MA,127,0,36500,5463,3225,0,1,54,23,0,0,0,56,50,69,4.852030264,10.50509494,0,8.605936401,8.078998259,0,0.693147181,4.007333185,3.17805383,4.043051268,3.931825633,4.248495242
2601,113014, Hyannis, MA,258,0,66361,12968,6762,0,0,163,38,1,0,0,157,40,141,5.556828062,11.10287988,0,9.470317173,8.819221858,0,0,5.099866428,3.663561646,5.062595033,3.713572067,4.955827058
2720,90514, Fall River, MA,324,0,7836,12499,12082,272,466,96,131,0,0,0,114,130,108,5.783825182,8.966611387,0,9.433483923,9.399554785,5.609471795,6.146329258,4.574710979,4.882801923,4.744932128,4.875197323,4.691347882
2740,146014, New Bedford, MA,390,0,76937,17099,14290,0,0,136,88,0,0,0,123,97,149,5.96870756,11.25075518,0,9.746833742,9.567385247,0,0,4.919980926,4.48863637,4.820281566,4.584967479,5.010635294
2780,200014, Taunton, MA,198,0,13510,7178,5939,3,3,48,33,0,0,0,53,55,68,5.293304825,9.511259447,0,8.878915377,8.689464412,1.386294361,1.386294361,3.891820298,3.526360525,3.988984047,4.025351691,4.234106505
2840,8015, Newport, RI,200,32,36291,7039,4123,3,5,60,35,0,0,1,50,32,59,5.303304908,10.49935261,3.496507561,8.859363449,8.324578845,1.386294361,1.791759469,4.110873864,3.583518938,3.931825633,3.496507561,4.094344562
2886,21515, Warwick, RI,359,0,59871,15646,17045,13,19,127,84,0,0,0,117,100,153,5.886104031,10.99996423,0,9.658034484,9.743670851,2.63905733,2.995732274,4.852030264,4.442651256,4.770684624,4.615120517,5.036952602
2895,23015, Woonsocket, RI,215,0,71061,8239,6091,0,0,92,51,0,0,0,91,71,100,5.375278408,11.17130801,0,9.016755623,8.714731714,0,0,4.532599493,3.951243719,4.521788577,4.276666119,4.615120517
2903,15015, Providence, RI,719,17,83109,30503,18253,1,2,229,126,1,1,1,257,194,232,6.579251212,11.32792031,2.890371758,10.3256131,9.812139513,0.693147181,1.098612289,5.438079309,4.844187086,5.552959585,5.272999559,5.451038454
2906,13015, Providence, RI,247,0,10792,11049,9723,0,0,113,91,1,0,0,96,100,68,5.513428746,9.286653055,0,9.310185707,9.182352335,0,0,4.736198448,4.521788577,4.574710979,4.615120517,4.234106505
2907,9115, Providence, RI,54,20,1261,1021,0,0,0,86,91,1,0,1,102,119,106,4.007333185,7.140453043,3.044522438,6.929516771,0,0,0,4.465908119,4.521788577,4.634728988,4.787491743,4.672828834
2908,16015, Providence, RI,238,0,32259,7520,4823,8,8,65,31,1,0,0,86,47,82,5.476463552,10.38158335,0,8.925454387,8.481358738,2.197224577,2.197224577,4.189654742,3.465735903,4.465908119,3.871201011,4.418840608
3060,30012, Nashua, NH,218,0,76730,7609,5116,4,4,39,27,0,1,0,41,29,70,5.38907173,11.24806108,0,8.937218451,8.540323609,1.609437912,1.609437912,3.688879454,3.33220451,3.737669618,3.401197382,4.262679877
3079,39012, Salem, NH,102,102,41231,1031,0,27,45,0,0,0,0,1,0,0,0,4.634728988,10.62696993,4.634728988,6.939253946,0,3.33220451,3.828641396,0,0,0,0,0
3102,22512, Manchester, NH,292,27,90158,9913,5703,7,7,57,35,0,0,1,68,41,75,5.680172609,11.40933006,3.33220451,9.201703179,8.648922962,2.079441542,2.079441542,4.060443011,3.583518938,4.234106505,3.737669618,4.33073334
3103,24012, Manchester, NH,302,0,61309,12689,6988,13,13,60,50,0,1,0,48,36,97,5.713732806,11.02369824,0,9.448569561,8.852092763,2.63905733,2.63905733,4.110873864,3.931825633,3.891820298,3.610917913,4.584967479
3301,3012, Concord, NH,229,0,56579,11484,9015,6,6,144,105,0,1,0,144,127,102,5.438079309,10.94341084,0,9.348797115,9.106756056,1.945910149,1.945910149,4.976733742,4.663439094,4.976733742,4.852030264,4.634728988
3570,1012, Berlin, NH,92,0,32764,2395,1616,7,8,10,4,0,1,0,12,0,19,4.532599493,10.39711615,0,7.781555959,7.38832786,2.079441542,2.197224577,2.397895273,1.609437912,2.564949357,0,2.995732274
3756,17012, Lebanon, NH,397,0,304879,17767,10175,27,46,164,109,1,0,0,207,108,88,5.986452005,12.62767354,0,9.785154366,9.227787286,3.33220451,3.850147602,5.105945474,4.700480366,5.33753808,4.691347882,4.48863637
3801,36012, Portsmouth, NH,114,0,56257,6050,4431,62,69,66,83,0,0,0,68,69,42,4.744932128,10.93770353,0,8.707978827,8.396606228,4.143134726,4.248495242,4.204692619,4.430816799,4.234106505,4.248495242,3.761200116
3820,8012, Dover, NH,130,0,59926,6310,4452,4,4,58,41,0,1,0,40,41,64,4.875197323,11.00088243,0,8.750049422,8.401333305,1.609437912,1.609437912,4.077537444,3.737669618,3.713572067,3.737669618,4.17438727
3833,11012, Exeter, NH,100,0,41365,5301,4588,76,144,56,23,0,1,0,72,26,63,4.615120517,10.63021457,0,8.575839387,8.431417414,4.343805422,4.976733742,4.043051268,3.17805383,4.290459441,3.295836866,4.158883083
4005,14011, Biddeford, ME,150,0,44236,5141,6424,25,26,59,55,0,0,0,56,50,53,5.017279837,10.69731682,0,8.545197388,8.76795191,3.258096538,3.295836866,4.094344562,4.025351691,4.043051268,3.931825633,3.988984047
4101,44011, Portland, ME,200,0,55300,7542,6023,2,2,64,93,1,0,0,87,87,63,5.303304908,10.92054627,0,8.92837526,8.703506769,1.098612289,1.098612289,4.17438727,4.543294782,4.477336814,4.477336814,4.158883083
4102,43011, Portland, ME,598,36,87946,23898,20865,184,395,222,138,1,1,1,213,134,152,6.395261598,11.38448964,3.610917913,10.0815919,9.945876319,5.220355825,5.981414211,5.407171771,4.934473933,5.365976015,4.905274778,5.030437921
4102,44511, Portland, ME,80,80,7279,850,0,7,10,0,0,0,0,1,0,0,0,4.394449155,8.892886141,4.394449155,6.746412129,0,2.079441542,2.397895273,0,0,0,0,0
4102,906511, Portland, ME,122,0,36938,4903,4392,6,6,63,41,0,0,0,40,50,36,4.812184355,10.51702318,0,8.497806478,8.387767644,1.945910149,1.945910149,4.158883083,3.737669618,3.713572067,3.931825633,3.610917913
4240,37011, Lewiston, ME,250,12,107297,9203,5503,1,1,66,46,1,0,1,91,47,62,5.525452939,11.58336529,2.564949357,9.127393451,8.61323038,0.693147181,0.693147181,4.204692619,3.850147602,4.521788577,3.871201011,4.143134726
4330,54011, Togus, ME,296,0,104494,4385,1328,90,144,19,14,1,0,0,18,13,9,5.693732139,11.5568945,0,8.386172929,7.192182059,4.510859507,4.976733742,2.995732274,2.708050201,2.944438979,2.63905733,2.302585093
4330,1011, Augusta, ME,136,0,86152,6233,7828,115,134,47,42,1,0,0,59,44,104,4.919980926,11.36388006,0,8.73777346,8.965590067,4.753590191,4.905274778,3.871201011,3.761200116,4.094344562,3.80666249,4.65396035
4401,7011, Bangor, ME,96,0,28212,3425,7542,73,123,69,83,0,0,0,85,79,57,4.574710979,10.24753814,0,8.139148679,8.92837526,4.304065093,4.820281566,4.248495242,4.430816799,4.454347296,4.382026635,4.060443011
4401,5011, Bangor, ME,382,17,209296,14902,10456,97,99,162,113,1,1,1,169,109,150,5.948034989,12.25150957,2.890371758,9.609317814,9.25502689,4.584967479,4.605170186,5.093750201,4.736198448,5.135798437,4.700480366,5.017279837
4605,26011, Ellsworth, ME,64,0,22115,2382,1623,57,83,24,11,0,0,0,31,16,30,4.17438727,10.00405661,0,7.776115477,7.392647521,4.060443011,4.430816799,3.218875825,2.48490665,3.465735903,2.833213344,3.433987204
4901,55511, Waterville, ME,236,25,263189,7891,6748,3,3,66,56,1,0,1,65,70,52,5.468060141,12.48063148,3.258096538,8.973604867,8.817149625,1.386294361,1.386294361,4.204692619,4.043051268,4.189654742,4.262679877,3.970291914
5401,9213, Burlington, VT,492,40,48373,21329,11738,1,1,163,142,1,1,1,174,143,143,6.200509174,10.78671776,3.713572067,9.967869811,9.370671911,0.693147181,0.693147181,5.099866428,4.96284463,5.164785974,4.9698133,4.9698133
5701,21013, Rutland, VT,188,0,58594,8555,4897,48,78,97,58,0,0,0,107,62,83,5.241747015,10.97840465,0,9.05438807,8.496582238,3.891820298,4.369447852,4.584967479,4.077537444,4.682131227,4.143134726,4.430816799
5819,22513, St Johnsbury, VT,77,0,9269,2629,2203,69,119,52,40,0,0,0,45,42,32,4.356708827,9.134538659,0,7.874739125,7.69802917,4.248495242,4.787491743,3.970291914,3.713572067,3.828641396,3.761200116,3.496507561
6010,7016, Bristol, CT,181,0,110788,8069,8887,63,65,40,43,1,0,0,46,47,79,5.204006687,11.61538277,0,8.995908761,9.092457331,4.158883083,4.189654742,3.713572067,3.784189634,3.850147602,3.871201011,4.382026635
6030,21516, Farmington, CT,276,0,12012,5849,4157,46,93,81,31,1,0,0,52,29,63,5.624017506,9.393744676,0,8.67419694,8.332789468,3.850147602,4.543294782,4.406719247,3.465735903,3.970291914,3.401197382,4.158883083
6040,28016, Manchester, CT,231,0,65864,8669,6560,0,1,75,53,0,0,0,67,64,98,5.446737372,11.09536247,0,9.06762407,8.788898309,0,0.693147181,4.33073334,3.988984047,4.219507705,4.17438727,4.59511985
6052,36016, New Britain, CT,338,0,124654,13688,11650,35,35,98,104,1,1,0,111,127,137,5.826000107,11.7333052,0,9.52434787,9.363147292,3.583518938,3.583518938,4.59511985,4.65396035,4.718498871,4.852030264,4.927253685
6105,25016, Hartford, CT,553,9,211514,20688,13037,96,172,148,104,1,1,1,183,113,185,6.317164687,12.2620512,2.302585093,9.937357437,9.475623449,4.574710979,5.153291594,5.003946306,4.65396035,5.214935758,4.736198448,5.225746674
6112,24016, Hartford, CT,155,10,53398,7530,6426,1,1,38,24,1,0,1,54,39,57,5.049856007,10.8855473,2.397895273,8.926783114,8.768263145,0.693147181,0.693147181,3.663561646,3.218875825,4.007333185,3.688879454,4.060443011
6115,21016, Hartford, CT,850,0,109036,34021,35727,46,64,374,321,1,1,0,393,307,276,6.746412129,11.59944255,0,10.43476265,10.48368997,3.850147602,4.17438727,5.926926026,5.774551546,5.976350909,5.730099783,5.624017506
6260,58016, Putnam, CT,124,0,198111,4647,3041,2,2,34,37,0,0,0,46,33,43,4.828313737,12.19658781,0,8.444192299,8.020270473,1.098612289,1.098612289,3.555348061,3.63758616,3.850147602,3.526360525,3.784189634
6320,48016, New London, CT,308,14,136667,11706,11303,151,165,140,95,0,0,1,123,136,102,5.733341277,11.82530991,2.708050201,9.367942232,9.332911924,5.023880521,5.111987788,4.94875989,4.564348191,4.820281566,4.919980926,4.634728988
6360,56016, Norwich, CT,213,0,78936,9283,7581,0,10,91,67,0,0,0,94,71,69,5.365976015,11.27640534,0,9.136047767,8.933532296,0,2.397895273,4.521788577,4.219507705,4.553876892,4.276666119,4.248495242
6451,31016, Meriden, CT,140,0,19574,7489,10148,0,0,98,44,0,0,0,69,76,113,4.94875989,9.882008521,0,8.921324077,9.225130457,0,0,4.59511985,3.80666249,4.248495242,4.343805422,4.736198448
6457,34016, Middletown, CT,226,0,280855,9863,11447,0,0,124,98,1,1,0,161,90,154,5.424950017,12.54559736,0,9.196647045,9.345570321,0,0,4.828313737,4.59511985,5.087596335,4.510859507,5.043425117
6510,40016, New Haven, CT,786,12,700744,30386,17257,1,1,129,97,1,1,1,159,51,243,6.668228248,13.45989933,2.564949357,10.32177016,9.756031083,0.693147181,0.693147181,4.86753445,4.584967479,5.075173815,3.951243719,5.497168225
6511,41016, New Haven, CT,489,12,114299,17301,14390,0,0,176,205,1,0,1,198,168,236,6.194405391,11.64658185,2.564949357,9.758577381,9.57435829,0,0,5.176149733,5.327876169,5.293304825,5.129898715,5.468060141
6606,6016, Bridgeport, CT,391,0,23174,14270,9726,3,9,89,57,1,0,0,129,92,170,5.97126184,10.05082939,0,9.565984785,9.182660803,1.386294361,2.302585093,4.49980967,4.060443011,4.86753445,4.532599493,5.141663557
6610,2016, Bridgeport, CT,475,13,63656,17424,10940,0,0,154,112,1,0,1,147,124,137,6.165417854,11.06126457,2.63905733,9.765661236,9.300272479,0,0,5.043425117,4.727387819,4.997212274,4.828313737,4.927253685
6706,74016, Waterbury, CT,306,0,105316,12830,7119,61,61,96,81,1,0,0,108,58,91,5.726847748,11.56473013,0,9.459619397,8.870663004,4.127134385,4.127134385,4.574710979,4.406719247,4.691347882,4.077537444,4.521788577
6708,75016, Waterbury, CT,322,0,16044,11664,9457,75,94,247,144,1,0,0,244,127,104,5.777652323,9.683152554,0,9.364348184,9.154616223,4.33073334,4.553876892,5.513428746,4.976733742,5.501258211,4.852030264,4.65396035
6790,71016, Torrington, CT,168,0,117386,6280,5460,16,22,75,35,0,0,0,51,34,52,5.129898715,11.67323145,0,8.745284482,8.605387202,2.833213344,3.135494216,4.33073334,3.583518938,3.951243719,3.555348061,3.970291914
6810,10016, Danbury, CT,406,14,135167,17067,10177,0,0,158,128,1,1,1,173,96,163,6.008813185,11.81427373,2.708050201,9.744960644,9.227983807,0,0,5.068904202,4.859812404,5.159055299,4.574710979,5.099866428
6830,16016, Greenwich, CT,176,0,120476,7932,9922,0,0,98,64,1,0,0,128,83,82,5.176149733,11.69921414,0,8.978786553,9.202610574,0,0,4.59511985,4.17438727,4.859812404,4.430816799,4.418840608
6856,53016, Norwalk, CT,320,18,48556,11935,11185,118,166,126,47,1,0,1,145,80,127,5.771441123,10.79049364,2.944438979,9.387314322,9.322418275,4.779123493,5.117993812,4.844187086,3.871201011,4.983606622,4.394449155,4.852030264
6902,67016, Stamford, CT,190,27,28007,5099,6950,36,48,49,24,1,0,1,47,16,56,5.252273428,10.24024546,3.33220451,8.536995819,8.846640813,3.610917913,3.891820298,3.912023005,3.218875825,3.871201011,2.833213344,4.043051268
6902,69016, Stamford, CT,282,0,74566,10613,7040,14,22,49,14,1,0,0,73,23,48,5.645446898,11.21945333,0,9.269929163,8.859505485,2.708050201,3.135494216,3.912023005,2.708050201,4.304065093,3.17805383,3.891820298
7039,80022, Livingston, NJ,705,0,12190,24467,14013,65,65,162,48,1,0,0,200,50,123,6.559615237,9.408453254,0,10.10512142,9.547812109,4.189654742,4.189654742,5.093750201,3.891820298,5.303304908,3.931825633,4.820281566
7042,65022, Montclair, NJ,369,0,68171,13784,13258,6,8,154,60,1,0,0,152,62,126,5.913503006,11.1297892,0,9.531336323,9.492431846,1.945910149,2.197224577,5.043425117,4.110873864,5.030437921,4.143134726,4.844187086
7050,101722, Orange, NJ,316,0,90654,9770,6630,0,0,154,113,1,0,0,136,96,40,5.758901774,11.41481637,0,9.187174094,8.799510901,0,0,5.043425117,4.736198448,4.919980926,4.574710979,3.713572067
7052,161522, West Orange, NJ,78,78,0,925,0,32,40,0,0,1,0,1,0,0,0,4.369447852,0,4.369447852,6.830874235,0,3.496507561,3.713572067,0,0,0,0,0
7055,106022, Passaic, NJ,303,0,45783,14712,7884,0,41,65,44,0,0,0,63,60,74,5.717027701,10.73168996,0,9.596486736,8.972717499,0,3.737669618,4.189654742,3.80666249,4.158883083,4.110873864,4.317488114
7061,116022, Plainfield, NJ,396,0,145662,14626,9132,0,15,97,31,1,0,0,104,39,90,5.983936281,11.88905101,0,9.590624415,9.119649507,0,2.772588722,4.584967479,3.465735903,4.65396035,3.688879454,4.510859507
7065,121022, Rahway, NJ,298,0,85722,10086,7455,1,1,43,14,0,0,0,40,17,82,5.700443573,11.35887645,0,9.219002745,8.916774356,0.693147181,0.693147181,3.784189634,2.708050201,3.713572067,2.890371758,4.418840608
7083,152822, Union, NJ,201,0,53399,7144,5008,8,30,41,42,0,0,0,51,50,68,5.308267697,10.88556602,0,8.87416809,8.518991573,2.197224577,3.433987204,3.737669618,3.761200116,3.951243719,3.931825633,4.234106505
7103,78522, Newark, NJ,518,0,249535,16202,6246,12,18,22,8,1,1,0,18,5,91,6.251903883,12.42735847,0,9.692951689,8.739856627,2.564949357,2.944438979,3.135494216,2.197224577,2.944438979,1.791759469,4.521788577
7306,42022, Jersey City, NJ,402,0,287866,13392,7188,63,63,53,16,0,0,0,64,30,57,5.998936562,12.57025385,0,9.502487461,8.880307359,4.158883083,4.158883083,3.988984047,2.833213344,4.17438727,3.433987204,4.060443011
7444,117522, Pompton Plains, NJ,270,0,38371,9692,10354,15,17,60,36,0,0,0,63,33,98,5.602118821,10.55508331,0,9.179159254,9.245224774,2.772588722,2.890371758,4.110873864,3.610917913,4.158883083,3.526360525,4.59511985
7450,123522, Ridgewood, NJ,421,0,61638,25009,14477,43,84,206,169,0,0,0,216,167,153,6.045005314,11.02905007,0,10.12703102,9.580385535,3.784189634,4.442651256,5.332718793,5.135798437,5.379897354,5.123963979,5.036952602
7503,112022, Paterson, NJ,546,0,23585,20540,9391,0,2,69,47,1,1,0,69,32,88,6.304448802,10.06840859,0,9.930178168,9.147613542,0,1.098612289,4.248495242,3.871201011,4.248495242,3.496507561,4.48863637
7601,36022, Hackensack, NJ,530,0,603278,24734,16684,18,48,196,197,1,1,0,239,158,198,6.274762021,13.31013506,0,10.11597452,9.722265391,2.944438979,3.891820298,5.283203729,5.288267031,5.480638923,5.068904202,5.293304825
7631,28022, Englewood, NJ,520,0,196639,16999,11047,18,26,103,32,1,0,0,102,33,140,6.255750042,12.18912992,0,9.740968623,9.310004695,2.944438979,3.295836866,4.644390899,3.496507561,4.634728988,3.526360525,4.94875989
7666,139022, Teaneck, NJ,370,0,89142,14410,7503,1,1,107,50,1,0,0,110,75,105,5.916202063,11.3979971,0,9.575747083,8.923191491,0.693147181,0.693147181,4.682131227,3.931825633,4.709530201,4.33073334,4.663439094
7675,161822, Westwood, NJ,296,0,92224,15764,7653,119,120,76,48,0,0,0,83,68,117,5.693732139,11.43198652,0,9.665547572,8.942983666,4.787491743,4.795790546,4.343805422,3.891820298,4.430816799,4.234106505,4.770684624
7701,122022, Red Bank, NJ,476,0,70985,17373,14355,14,14,122,83,0,0,0,131,77,114,6.167516491,11.17023795,0,9.762730115,9.571923252,2.708050201,2.708050201,4.812184355,4.430816799,4.882801923,4.356708827,4.744932128
7728,32222, Freehold, NJ,240,0,111129,11926,7900,92,97,73,18,0,0,0,75,24,88,5.484796933,11.61845597,0,9.386560017,8.974744613,4.532599493,4.584967479,4.304065093,2.944438979,4.33073334,3.218875825,4.48863637
7733,39522, Holmdel, NJ,218,0,15900,8016,5551,0,1,37,10,0,0,0,65,18,84,5.38907173,9.674137279,0,8.989319566,8.621913502,0,0.693147181,3.63758616,2.397895273,4.189654742,2.944438979,4.442651256
7740,56022, Long Branch, NJ,449,0,190137,18929,13853,40,40,114,57,1,0,0,108,71,93,6.109247583,12.1555054,0,9.848503244,9.536329279,3.713572067,3.713572067,4.744932128,4.060443011,4.691347882,4.276666119,4.543294782
7753,74022, Neptune, NJ,466,0,166775,19269,9384,6,6,110,80,1,1,0,134,75,142,6.146329258,12.02440687,0,9.866304761,9.146867949,1.945910149,1.945910149,4.709530201,4.394449155,4.905274778,4.33073334,4.96284463
